Name,ZoneID,纬度,经度,可达性,归一化结果,,,,,,,,,,,
城厢镇,77,30.86221057,104.3378311,119635,-2.262452577,,,,,,,,,,,
福洪乡,78,30.74060452,104.3458705,283031,-1.208203216,,,,,,,,,,,
大弯街道,79,30.87432553,104.2617395,226447,-1.573289545,,,,,,,,,,,
姚渡镇,80,30.80729833,104.3477239,192990,-1.78915787,,,,,,,,,,,
人和乡,81,30.70333202,104.4399098,102088,-2.375667794,,,,,,,,,,,
祥福镇,82,30.81765901,104.2777915,331998,-0.892262627,,,,,,,,,,,
黄田坝街道,83,30.7056797,103.9568888,566886,0.623261156,,,,,,,,,,,
东坡街道,84,30.66802093,103.9958024,590105,0.773072754,,,,,,,,,,,
草市街街道,85,30.67461179,104.0712286,603653,0.860485973,,,,,,,,,,,
文家街道,86,30.6873893,103.9319969,559596,0.576225256,,,,,,,,,,,
光华街道,87,30.66495705,104.0155377,594704,0.802746019,,,,,,,,,,,
汪家拐街道,88,30.6575053,104.0524962,596870,0.816721295,,,,,,,,,,,
新华西路街道,89,30.67832485,104.060636,602255,0.85146592,,,,,,,,,,,
苏坡街道,90,30.6815998,103.9757953,576348,0.684311043,,,,,,,,,,,
西御河街道,91,30.66552489,104.0622871,598889,0.82974811,,,,,,,,,,,
草堂街道,92,30.66140922,104.0334706,596373,0.813514595,,,,,,,,,,,
太升路街道,93,30.66874784,104.0765943,601844,0.848814102,,,,,,,,,,,
金沙街道,94,30.68543437,104.0017465,590494,0.775582626,,,,,,,,,,,
府南街道,95,30.67803563,104.0203692,596405,0.813721062,,,,,,,,,,,
少城街道,96,30.66865492,104.0525855,598727,0.828702867,,,,,,,,,,,
中和街道,97,30.54925137,104.0964517,528334,0.374519318,,,,,,,,,,,
金桥镇,98,30.57386213,103.8323234,450689,-0.126454951,,,,,,,,,,,
黄甲街道,99,30.50301504,103.951634,473877,0.023156631,,,,,,,,,,,
籍田镇,100,30.30483121,104.0299641,80462,-2.515201177,,,,,,,,,,,
三星镇,101,30.31345049,104.1440866,87901,-2.467203913,,,,,,,,,,,
正兴镇,102,30.42933328,104.0456715,383254,-0.561553153,,,,,,,,,,,
白沙镇,103,30.46874763,104.1718081,407992,-0.401940795,,,,,,,,,,,
合江镇,104,30.39490363,104.1740252,225251,-1.581006271,,,,,,,,,,,
胜利镇,105,30.49696693,103.9196511,450493,-0.127719565,,,,,,,,,,,
煎茶镇,106,30.36030746,104.0580406,191951,-1.795861615,,,,,,,,,,,
万安镇,107,30.48089946,104.1114063,438519,-0.20497716,,,,,,,,,,,
太平镇,108,30.43987911,104.2179321,294547,-1.133900689,,,,,,,,,,,
黄水镇,109,30.52924256,103.8716603,453301,-0.109602034,,,,,,,,,,,
九江街道,110,30.63816314,103.9177169,541513,0.459551707,,,,,,,,,,,
公兴街道,111,30.46705726,103.9856295,445882,-0.157470256,,,0,0.06337477,0.839715701,0,1.109058473,0.681278776,1.790337249,9.021066947,14509
大林镇,112,30.27393574,104.1026012,47331,-2.728966114,,,,,,,,,,,
永兴镇,113,30.35778852,104.1389231,156249,-2.026214933,,,,,,,,,,,
新兴镇,114,30.52659992,104.1505275,473319,0.019556353,,,,,,,,,,,
黄龙溪镇,115,30.34360176,103.9651867,130072,-2.19511188,,,,,,,,,,,
永安镇,116,30.3990539,103.976405,257933,-1.370138333,,,,,,,,,,,
兴隆镇,117,30.41939273,104.11392,352750,-0.75836839,,,,,,,,,,,
彭镇,118,30.60550751,103.8667239,499065,0.185672439,,,,,,,,,,,
东升街道,119,30.58218121,103.9279083,524452,0.349472217,,,,,,,,,,,
华阳镇街道,120,30.50013746,104.0568842,485726,0.099607712,,,,,,,,,,,
西航港街道,121,30.55081811,103.9946387,535618,0.421516505,,,,,,,,,,,
和盛镇,122,30.72767208,103.7707763,322567,-0.953112499,,,,,,,,,,,
永宁镇,123,30.73160798,103.8998111,537829,0.435782125,,,,,,,,,,,
柳城街道,124,30.6927868,103.8346616,483869,0.087626139,,,,,,,,,,,
天府街道,125,30.67309614,103.8078291,452048,-0.117686531,,,,,,,,,,,
公平街道,126,30.70467984,103.8785995,528616,0.376338813,,,,,,,,,,,
寿安镇,127,30.81148631,103.7333324,150394,-2.063992051,,,,,,,,,,,
涌泉街道,128,30.66920494,103.8757862,524385,0.349039926,,,,,,,,,,,
永盛镇,129,30.66587445,103.7735345,367996,-0.659999484,,,,,,,,,,,
